,fecha,texto,src,rt,fav
0,2020-10-17 04:11:01,"El mejor equipo en el mejor evento de BBVA!!! 👏🏼👏🏼👏🏼@ivanromix Byront , Mar y Sol!!!! #edufinbbva https://t.co/L03Sg87lx7",Twitter for iPhone,0,1
1,2020-10-17 04:06:24,Yo quiero #ApplePay en #Colombia #ApplePayCOL @Apple @AppleCard @tim_cook @BancoRepublica @Bco_Occidente @Davivienda @BBVA_Colombia @Bancolombia @BancodeBogota @VisaColombia @MastercardCol,Twitter for iPhone,1,0
2,2020-10-17 04:05:55,Si eres cuentahabiente de Santander o BBVA cuidado con esto (por QuintoPoder) https://t.co/JvS3N2may1 a través de @julioastillero,Twitter for Android,63,0
3,2020-10-17 04:05:42,Yo quiero #ApplePay en #Colombia #ApplePayCOL @Apple @AppleCard @tim_cook @BancoRepublica @Bco_Occidente @Davivienda @BBVA_Colombia @Bancolombia @BancodeBogota @VisaColombia @MastercardCol,Twitter for iPhone,1,0
4,2020-10-17 04:05:01,"🤩Regreso la afición 

🙌 Regreso la ilusión

⚡Regreso el triunfo para @ClubNecaxa

https://t.co/ArQoo3xDD0 

#FuerzaRayos | #FuerzaTijuas | #TusGuard1anes2020 https://t.co/tt0HveNcRP",Twitter for Android,8,0
5,2020-10-17 04:02:47,Si eres cuentahabiente de Santander o BBVA cuidado con esto (por QuintoPoder) https://t.co/2Gqq87HGuB via @julioastillero,Twitter for iPhone,21,0
6,2020-10-17 04:02:42,"@ElMaderense12 En México si me apoyaron en @BBVA_Mex no hipotecario pero si en TC. Comentario personal de cliente de varios años, nunca he tenido problemas con el banco.",Twitter for Android,0,1
7,2020-10-17 04:02:34,"Pago una docena de chorizos a quien me de un teléfono y me atienda de una el reputo BBVA con todos sus toquen, numerales y 0800 diseñados por un sovietico hdp",Twitter for Android,260,0
8,2020-10-17 04:01:29,@MatisseKCA BBVA #KCAMexico  #Matisse  #Morat #BajoLaMesa #NathYSimon,Twitter for Android,0,0
9,2020-10-17 04:01:00,"El Segundo Round es por los niños de Puebla 
Meta: $450,0000 
Con lo recaudado se donará medicamento para los niños que  se atienden en el Hospital para el niño poblano.
Dona en : 0110098078 BBVA 
Clabe: 012320001100980784
Campeones de la vida NR AC 
Gracias #milagro https://t.co/U2IQob0ksF",Twitter for Android,2505,0
10,2020-10-17 04:00:55,"Pago una docena de chorizos a quien me de un teléfono y me atienda de una el reputo BBVA con todos sus toquen, numerales y 0800 diseñados por un sovietico hdp",Twitter for Android,260,0
11,2020-10-17 03:59:56,"El Segundo Round es por los niños de Puebla 
Meta: $450,0000 
Con lo recaudado se donará medicamento para los niños que  se atienden en el Hospital para el niño poblano.
Dona en : 0110098078 BBVA 
Clabe: 012320001100980784
Campeones de la vida NR AC 
Gracias #milagro https://t.co/U2IQob0ksF",Twitter for Android,2505,0
12,2020-10-17 03:59:19,mi app favorita es la del bbva,Twitter for iPhone,0,4
13,2020-10-17 03:59:03,"@paolobenza Soy microempresario, tenemos una cuenta @bbva_peru + de 12 años, solicité el crédito Reactiva con mi sectorista en 2 oportunidades y fueron denegadas a pesar de cumplir con los requisitos, pedí las razones y en vez de respuestas me ofrecieron otro productos de capital de trabajo. https://t.co/gkPS6WS1Po",Twitter Web App,9,0
14,2020-10-17 03:58:58,"El Segundo Round es por los niños de Puebla 
Meta: $450,0000 
Con lo recaudado se donará medicamento para los niños que  se atienden en el Hospital para el niño poblano.
Dona en : 0110098078 BBVA 
Clabe: 012320001100980784
Campeones de la vida NR AC 
Gracias #milagro https://t.co/U2IQob0ksF",Twitter for Android,2505,0
