,banco,fecha,texto,src,rt,fav,country,type,place,desde,sigue_a,lo_siguen
0,bbva,2020-10-17 18:27:52,"El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domiciliada es menor de 800 euros. Perjudica a perfiles de trabajadores precarios y a pensionistas. Es una puta vergüenza 😡😡😡",Twitter for Android,231,0,,,,2015-04-05 15:00:18,2025,2211
1,bbva,2020-10-17 18:27:51,Es tan dominante Rayados cuando recibe al Puebla en su casa.  Que en los últimos 26 años el equipo de La Franja apenas ha ganado un partido de sus últimas 26 visitas.  Y fue cuando “Los Camoteros”  ganaron 3-1 en el Estadio BBVA en la jornada 10 del Clausura 2018. https://t.co/Z4flSdTRYU,Twitter Web App,3,0,,,,2010-02-03 19:43:09,729,46762
2,bbva,2020-10-17 18:26:33,MásLeídas Se ha dado a conocer que usuarios de estos bancos han sido víctimas de fraudes (por quintopodermex) https://t.co/JvS3N24zGt,Twitter for Android,10,0,,,,2017-02-09 02:01:03,417,45
7,bbva,2020-10-17 18:24:34,"Bueno SFCsupervisor y cual es el control y vigilancia que tienen sobre los bancos BBVA_Colombia ScotiaColpatria ? he radicado peticiones y solicitudes y no responden a ellas. El portal para radicar quejas en la web de SFCsupervisor no sirve, que hacemos para denunciar?",Twitter for iPhone,2,0,,,,2010-03-04 22:19:11,429,113
8,bbva,2020-10-17 18:24:20,⚽| ¡Hoy regresa nuestro Monterrey a Casa! ¡Hoy y siempre lo jugamos todos Juntos! 💪🏼  ⌚️ 17:06 hrs. 🏟 BBVA 📺 FoxSportsMx 🇺🇸 ESPN  ¡A dejar el alma en la cancha! 🗣  gatorademex ArribaElMonterrey https://t.co/ogYZzFNSo7,Twitter for iPhone,16,0,,,,2020-03-22 21:23:45,114,46
12,bbva,2020-10-17 18:23:36,"BBVARe_mx necesito saber la utilización detallada de mis puntos BBVA, lamentablemente en la línea de atención a clientes y en servicios digitales no me han podido dar solución CondusefMX ya que el estado de cuenta no tiene está información por establecimiento",Twitter for Android,0,0,,,,2011-06-22 03:26:44,192,95
13,bbva,2020-10-17 18:23:11,Xaguzar2 Hay más bancos que el BBVA ...,Twitter for Android,1,0,,,,2013-01-09 22:14:48,915,638
15,bbva,2020-10-17 18:22:02,Xaguzar2 Idea loca: Votar a partidos que quieran una banca pública. Recordemos que el bbva se comió a Caja Postal,Twitter for Android,1,0,,,,2013-01-09 22:14:48,915,638
17,bbva,2020-10-17 18:21:10,RegioTomahawk general_r Y también ahí están las letras grandes de oro en la vasinica como tigres el primer campeón en el BBVA jajajajajajajajajajajaja y más jajajajajajajajajajajaja pinches segundones,Twitter for Android,0,0,,,,2020-10-15 01:10:03,90,10
18,bbva,2020-10-17 18:20:57,Los fraudes bancarios están a la orden del día y en tiempos de pandemia es más difícil resolver el conflicto.  Checa nuestra nota: https://t.co/N7xHlNJYps https://t.co/IXBEw2FQ2I,Twitter for Android,3,0,,,,2010-04-29 22:29:25,689,128
19,bbva,2020-10-17 18:20:34,💳 La (revolucionaria) idea del BBVA con las tarjetas  https://t.co/YqT2DW0JE7,Twitter for iPhone,6,0,,,,2020-07-24 17:30:18,1673,502
21,bbva,2020-10-17 18:20:24,Banco Santander volverá a ser rescatado si se aprueba la fusión con BBVA https://t.co/VqvosyXbp9 a través de diario_16,Twitter for Android,4,0,,,,2020-04-10 11:39:45,2258,2113
23,bbva,2020-10-17 18:20:09,Ya regresarme mi dinero  BBVARe_mx BBVA_Mex !!!,Twitter for Android,0,0,,,,2012-11-07 00:12:05,855,149
25,bbva,2020-10-17 18:19:32,"Sr.Consejero de la  AndaluciaJunta en Granada hay tres familias con menores  que no pueden cumplir esta recomendación,les desahucian sin alternativa habitacional los días 22,29 y 30  bbva bancosantander BanKaixa1 Podemos_AND MartinaVelardeG libertadbenitez JdMJerez https://t.co/W2YStTLw3m",Twitter for Android,35,0,,,,2016-02-06 11:11:14,3748,3109
33,bbva,2020-10-17 18:17:14,"ScotiabankMX Jaja scotiabank  tiene un pésimo servicio al cliente, no me dan soluciones y me hacen perder tiempo recomiendo BBVA en donde te dan grandes soluciones y no te hacen perder tiempo aparte su aplicación funciona al 100.",Twitter for Android,0,0,,,,2020-05-30 21:32:43,19,1
35,bbva,2020-10-17 18:16:00,MTVTop20ConDhasia BTS_twt MTVBTS  Hola hola hola BBVA hola buenas tardes bueno,Twitter for Android,0,0,,,,2019-09-09 00:10:00,245,132
