,banco,fecha,texto,src,rt,fav,palabras,country,type,place,desde,sigue_a,lo_siguen
0,BancoAzteca,2020-10-18 03:21:51,"BancoAzteca No se ocupen en su momento no quisieron solucionarlo, ahora el proceso se encuentra en la CondusefMX junto con el senadomexicano para una solución integral contra abusos bancarios por parte de personal administrativo y ejecutivo.   DiputadosMorena GobiernoMX SEGOB_mx",Twitter for iPad,0,0,ejecutivo,,,,2011-10-16 06:25:21,946,45
1,BancoAzteca,2020-10-18 02:58:19,Como ven a la rata de Salinas Pliego?? Les digo que no metan su dinero en su banco rata de BancoAzteca https://t.co/DXU8zrQg38,Twitter for iPad,2,0,"banco,dinero",,,,2012-04-07 17:04:30,13847,12137
4,BancoAzteca,2020-10-18 02:27:16,"¡Un diagnóstico oportuno puede salvar tu vida! Recuerda hacerte revisiones constantes y protegerte con un seguro como SeguroMujer, que te brinda apoyo en caso de requerirlo.   Conoce los beneficios, requisitos y restricciones en: 👉https://t.co/XSgMW4QL4o OctubreRosa https://t.co/JHPwHGUEKr",Twitter for iPhone,1,0,seguro,,,,2010-06-11 15:57:57,484,532
5,BancoAzteca,2020-10-18 01:56:03,"Si viviera el mítico ""Maquio"" Clouthier, habría llamado a un boicot social contra el sátrapa RicardoBSalinas ! Por lo pronto, los invito a dar ""me gusta"" a quienes apoyen boicot contra Azteca , contra BancoAzteca y tiendas Tiendas_Elektra ! Ánimo! https://t.co/62hS98okxr",Twitter for Android,170,0,,,,,2011-04-20 02:34:18,626,287
6,BancoAzteca,2020-10-18 01:40:53,atlasfc BancoAzteca Gracias ....pero por matar mi pasión ....,Twitter for iPhone,0,0,,MX,city,"Tlaquepaque, Jalisco",2010-02-04 01:03:18,355,114
7,BancoAzteca,2020-10-18 01:00:39,"atlasfc BancoAzteca atlasfc sale a jugar con un once SIN NINGÚN CANTERANO. Se acabó el mito de la mal llamada ""Academia del fútbol mexicano"".",Twitter for Android,0,1,llamada,,,,2014-04-22 15:35:26,3048,970
9,BancoAzteca,2020-10-18 00:50:21,"Esto va más allá de una pasión... es un sentimiento, no puedo parar...  ¡VAMOS ATLAS, CARAJO! 🙌  ¡A ganar el Clásico Tapatío junto a BancoAzteca!   LateConFuria 🔴⚫️ https://t.co/usMj8SaNuP",Twitter for Android,36,0,,,,,2012-03-26 21:10:25,442,720
10,BancoAzteca,2020-10-18 00:49:19,atlasfc Estotodo! Pechos fríos. Ya vayan pagando los 120 algún tenemos un bancoazteca,Twitter for Android,0,0,banco,,,,2016-08-17 04:12:12,94,24
11,BancoAzteca,2020-10-18 00:33:03,"Hace 3 meses mi papá fue a renovar contrato con Citibanamex en una de las pocas sucursales que daban servicio.  Pidieron un  celular, desde ahí BBVA_Mex BancoAzteca Coppel chopo_cercadeti entre otros hablan a todas horas preguntando por él. Donde está la confidencialidad?",Twitter for Android,1,0,"sucursal,servicio,servicio",,,,2012-08-24 20:08:02,574,387
12,BancoAzteca,2020-10-18 00:32:28,ClubPueblaMX BancoAzteca Que pasooo?? https://t.co/qydBb7cbyU,Twitter for iPhone,0,0,,,,,2020-06-02 03:45:20,54,0
13,BancoAzteca,2020-10-18 00:23:11,"CON FURIA, LUCHA Y HONOR!!!  BancoAzteca nos trae el once del Clásico Tapatío!!!  LateConFuria 🔴⚫️ https://t.co/o4zTkIni4a",Twitter for Android,12,0,,,,,2012-02-23 17:28:25,1119,1042
